timestamp	set_id	seed	cm00	cm01	cm10	cm11
2026-03-14 15:39:08.825068	13	2	0.5429	0.4571	0.0395	0.9605
2026-03-14 16:58:10.214298	13	3	0.5182	0.4818	0.0470	0.9530
2026-03-14 18:17:55.562570	13	4	0.5452	0.4548	0.0795	0.9205
2026-03-14 19:36:15.718099	13	5	0.4969	0.5031	0.0482	0.9518
2026-03-14 20:55:09.044563	13	6	0.5206	0.4794	0.0416	0.9584
2026-03-14 22:17:46.765224	14	1	0.4625	0.5375	0.0300	0.9700
2026-03-14 23:41:04.373891	14	2	0.5288	0.4712	0.0541	0.9459
2026-03-15 01:03:47.592606	14	3	0.4647	0.5353	0.0342	0.9658
2026-03-15 02:26:32.975720	14	4	0.5906	0.4094	0.0407	0.9593
2026-03-15 03:50:03.832806	14	5	0.4835	0.5165	0.0440	0.9560
2026-03-15 05:13:11.418666	14	6	0.5444	0.4556	0.0936	0.9064
2026-03-15 06:37:58.843027	15	1	0.4271	0.5729	0.0180	0.9820
2026-03-15 08:03:56.050779	15	2	0.5331	0.4669	0.0553	0.9447
2026-03-15 09:30:35.210720	15	3	0.4600	0.5400	0.0482	0.9518
2026-03-15 10:57:42.076234	15	4	0.4952	0.5048	0.0443	0.9557
2026-03-15 12:24:39.271155	15	5	0.6479	0.3521	0.0449	0.9551
2026-03-15 13:52:08.058344	15	6	0.4633	0.5367	0.0300	0.9700
2026-03-15 15:21:17.847534	16	1	0.4843	0.5157	0.0319	0.9681
2026-03-15 16:51:24.322669	16	2	0.5454	0.4546	0.0556	0.9444
2026-03-15 18:19:48.607138	16	3	0.4378	0.5622	0.0277	0.9723
2026-03-15 19:48:41.631210	16	4	0.5303	0.4697	0.0421	0.9579
2026-03-15 21:19:08.627223	16	5	0.6138	0.3862	0.0507	0.9493
2026-03-15 22:48:31.479966	16	6	0.4945	0.5055	0.0386	0.9614
2026-03-16 00:11:33.168729	17	1	0.6759	0.3241	0.0416	0.9584
2026-03-16 01:34:28.826476	17	2	0.5636	0.4364	0.0492	0.9508
2026-03-16 02:56:58.889276	17	3	0.4727	0.5273	0.0407	0.9593
2026-03-16 04:19:02.772663	17	4	0.5552	0.4448	0.0299	0.9701
2026-03-16 05:42:45.719956	17	5	0.5587	0.4413	0.0479	0.9521
2026-03-16 07:06:01.207051	17	6	0.4690	0.5310	0.0355	0.9645
2026-03-16 08:31:31.944188	18	1	0.4830	0.5170	0.0383	0.9617
2026-03-16 09:57:12.719561	18	2	0.5411	0.4589	0.0539	0.9461
2026-03-16 11:23:04.639590	18	3	0.4975	0.5025	0.0338	0.9662
2026-03-16 12:48:35.369072	18	4	0.5055	0.4945	0.0608	0.9392
2026-03-16 14:15:33.803872	18	5	0.6047	0.3953	0.0472	0.9528
2026-03-16 15:41:50.823766	18	6	0.4983	0.5017	0.0422	0.9578
2026-03-16 17:10:44.736956	19	1	0.4725	0.5275	0.0306	0.9694
2026-03-16 18:39:25.307169	19	2	0.5478	0.4522	0.0423	0.9577
2026-03-16 20:07:09.123631	19	3	0.4661	0.5339	0.0416	0.9584
2026-03-16 21:35:34.037231	19	4	0.5352	0.4648	0.0573	0.9427
2026-03-16 23:04:22.339899	19	5	0.5362	0.4638	0.0464	0.9536
2026-03-17 00:33:07.163735	19	6	0.4623	0.5377	0.0588	0.9412
2026-03-17 02:03:28.251909	20	1	0.3640	0.6360	0.0260	0.9740
2026-03-17 03:33:44.854982	20	2	0.5137	0.4863	0.0323	0.9677
2026-03-17 05:04:42.363067	20	3	0.5385	0.4615	0.0587	0.9413
2026-03-17 06:35:12.465088	20	4	0.5103	0.4897	0.0444	0.9556
2026-03-17 08:06:41.270838	20	5	0.5993	0.4007	0.0718	0.9282
2026-03-17 09:37:21.828108	20	6	0.7266	0.2734	0.0641	0.9359
